Work Type	Volunteering Opportunity: Ref	No. of Volunteers Required	Organisation: Organisation Name	Client Group	Title	Full Description	Organisation: Aims And Objectives	Experience Required	Minimum Age	Monday Morning	Monday Afternoon	Monday Evening	Tuesday Morning	Tuesday Afternoon	Tuesday Evening	Wednesday Morning	Wednesday Afternoon	Wednesday Evening	Thursday Morning	Thursday Afternoon	Thursday Evening	Friday Morning	Friday Afternoon	Friday Evening	Saturday Morning	Saturday Afternoon	Saturday Evening	Sunday Morning	Sunday Afternoon	Sunday Evening	Travel Expenses	Travel Details	Organisation Contact	Organisation: Phone	Organisation: Email
Residential Volunteering	VO38312	1	Lothlorien Community (Rokpa Trust)	Mental Health	Voluntary Co-worker	"Becoming a voluntary co-worker at Lothlorien offers a valuable opportunity for personal growth, and will be of particular interest to those considering a career in a helping profession. Rather than learning particular skills or techniques in helping others, the main learning for co-workers, is through participation in a community which actively promotes honesty, genuine communication and mutual support. The main focus of the co-worker's role is that of befriending. They help to create a warm, accepting atmosphere of friendship, acceptance and mutual support, through which everyone in the community feels valued and respected. Co-workers are also expected to help maintain the daily structure and routine that underpins life in the community. This involves participating in domestic tasks such as cooking, cleaning, working in the organic vegetable gardens and maintenance work on the house and grounds."	"Lothlorien is a therapeutic community, where those who are experiencing mental health problems can develop their potential through living alongside people who are relatively well, in an atmosphere of friendship, acceptance and mutual support. The community consists of 8 people with mental health problems and 4 voluntary co-workers, living in a large log house on 17 acres of land. The 3 staff, who provide a continuity of support to the community, are non resident. The staff also offer individual and group supervision to the voluntary co-workers. At Lothlorien, we believe that people need not be imprisoned by their past and we avoid labelling or diagnosing people. Instead, we attempt to break down the distinction which frequently exists between those seen as 'well' and those seen as 'unwell'. We have a strong belief in everyone's potential for well being, even in the midst of pain and distress."	Previous volunteering in a care role would be an advantage.	21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Monthly travel allowance to cover time off from the community.	A residential placement in Dumfries & Galloway.	Brendan Hickey	01644 440602	lothlorien1@btopenworld.com
Befriending / Mentoring	VO38334	3	Dundee Blind & Partially Sighted Society	Sensory Impairment	Group Helper	"DBPSS has a range of activity groups designed to offer new challenges and opportunities to clients of all ages whilst providing support in a 'safe' environment. Group helpers are required to help with planning, organisation, supervision, guiding and providing refreshments. (In some cases) our groups are often involved in fund raising for their own activities. Tea & Chat with monthly tea dance, Reminiscence group, Bingo, Craft Group. We also need people with skills to start new groups which would be of interest to our clients. An interest in playing musical instruments or encouraging clients to sing at Tea and Chat would be welcome."	"Dundee Blind and Partially Sighted Society is working towards a world where all people who are visually impaired, enjoy the same rights, opportunities and responsibilities as everyone else. DBPSS aims to contribute to this vision by providing a range of statutory and non-statutory services, to visually impaired children, adults and their carers, who reside within the City of Dundee."	"Friendly, reliable, enthusiastic and good with people."	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"We reimburse volunteers for public transport or at a mileage rate of 30p per mile. Expenses are paid at the end of every month, unless otherwise arranged with the volunteer co-ordinator."	Most groups are building based in Dundee City Centre.	Volunteer Co-ordinator	01382 227101	office@dbpss.org.uk
Befriending / Mentoring	VO38335	3	Dundee Blind & Partially Sighted Society	Sensory Impairment	Befriender	"DBPSS requires volunteer befrienders to visit clients in their own homes within the Dundee area. Depending on need, this could be either weekly, fortnightly or monthly. Visits are usually made up of a cup of tea and a chat."	"Dundee Blind and Partially Sighted Society is working towards a world where all people who are visually impaired, enjoy the same rights, opportunities and responsibilities as everyone else. DBPSS aims to contribute to this vision by providing a range of statutory and non-statutory services, to visually impaired children, adults and their carers, who reside within the City of Dundee."	"Reliable, open, honest with good people skills."	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"DBPSS reimburses volunteers for public transport costs or at a mileage rate of 30p per mile. Expenses are paid at the end of every month, unless otherwise arranged by the volunteer co-ordinator."	Befriending is based in the client's own home. We would try to match a volunteer who resides in the local area.	Volunteer Co-ordinator	01382 227101	office@dbpss.org.uk
Driving / escorting	VO38336	1	Dundee Blind & Partially Sighted Society	Sensory Impairment	Driver	"Volunteer drivers and escorts bring much more than transport to our clients. Using our mini-bus or cars, they can bring clients to activities in our building that they might otherwise miss. Or they can take people on an outing together. Driving their own car, they might be taking clients to a hospital appointment or be giving someone a rare chance to visit relatives."	"Dundee Blind and Partially Sighted Society is working towards a world where all people who are visually impaired, enjoy the same rights, opportunities and responsibilities as everyone else. DBPSS aims to contribute to this vision by providing a range of statutory and non-statutory services, to visually impaired children, adults and their carers, who reside within the City of Dundee."	"Good driver, reliable & trustworthy,clean driving licence."	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"DBPSS reimburses volunteers for public transport costs or a mileage of 30p per mile. Expenses are paid at the end of every month, unless otherwise arranged with the volunteer co-ordinator."	This varies. The Society has it's own mini-bus and 2 cars or Volunteers can also use their own vehicle and be paid a mileage allowance.	Volunteer Co-ordinator	01382 227101	office@dbpss.org.uk
Arts ( music/drama/crafts)	VO38339	2	Link Club (The)- Special Interest Branch of Enable	Learning Disabilities	Activities Assistant	"We provide a friendly, safe environment where people with learning disabilities can meet and enjoy activities together. Activities include knitting, craft work, jigsaw puzzles, dominoes and other occasional pursuits. Our members also enjoy conversation and having someone to chat to can make a real difference, You would help with any of the above or bring your own particular skills which can expand what is offered at the club. During the summer months, we take small groups for outings in our minibus."	"Provide a club for adults with learning disabilities. Members enjoy activities together and socialise with friends. Club meets: Tuesdays - 12.15 to 3.00pm, Wednesdays - 9.15 to 12.00 noon."	No special skills required. Patience empathy and clear communication needed.	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Local bus fares.	Our club takes place in Dundee Methodist Church which is in the city centre on West Marketgait. There is a bus stop close by where many city buses stop.	Lorna Dewar	01382 221319	thelinkclub@hotmail.co.uk
Sports / Outdoor activities	VO38340	5	Menzieshill Whitehall Amateur Swimming Club	Children	Swimming Club Assistant	"The club is looking for volunteers with swimming experience to be swimming club assistants and progress to train as teachers to enable them to help in the coaching of swimmers in the age group 5-18. Initially you would work alongside qualified personnel on the poolside for a period of a few months. Attendance at a locally held teachers' training course would then be organised. This involves both poolside instruction and lecture room activity. After gaining qualifications, you would be given more responsibility and become involved with scheduling, specialised training, team selection, etc."	"The main aim of the club is to teach and coach swimming to children in the age group 5-18. The club has 10 training sessions per week at different venues throughout the city and caters for all abilities from beginners to national standard. The club also has a team which competes in the local district leagues, a strong water polo section and also supports ""Open Water"" swimming."	Interest/background in swimming and ability to work with children.	16	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	0	1	0	0	No.	At three different venues within Dundee city. An introductory visit to the club would usually take place on a Friday between 7:30pm-9pm at Olympia Sports Centre (although other options are available if this is unsuitable). Please contact the club to arrange any visit.	Nigel MacKay	07947 742313	nigelamackay@gmail.com
Charity Shops / Retail	VO38342	1	PDSA Charity Shop (Dundee)	Animals	Front Shop Sales Volunteer	"Full training given, to greet customers, carry out till transactions, good housekeeping duties, a chance to meet new friends. Also try your hand at displays. Don't be bored at home, be happy in the PDSA."	"PDSA is the UK's leading veterinary charity, treating over 4,650 sick and injured animals daily. PDSA's mission is 'To care for the pets of needy people by providing free veterinary services to their sick and injured animals and promoting responsible pet ownership'."	Full training will be given. All we are asking is that the volunteer is interested in our work and that they would enjoy a challenge.	15	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	Pay public transport costs on proof of ticket. They are paid daily or weekly subject to requirements of volunteer.	"PDSA Shop, 125 High Street, Lochee, Dundee."	Isobel Lamb	01382 623207	lamb.isobel@pdsa.org.uk
Playschemes / Childrens Clubs	VO38345	1	Dundee Disabled Children's Association	Physical Disability	Play/Youth Workers.	"We need you! Volunteer play/youth workers are always needed to help at one of Dundee Disabled Children Association's three evening youth clubs each week. Around forty children and young people with a wide range of disabilities benefit from our activities, and around the same number of volunteers are involved at any given time. Through ongoing support and supervision, DDCA provides you with the opportunity to help these children and young people play and socialise. We hope to make your voluntary work a fun, fulfilling and rewarding experience. So enhance your social life and confidence - give something back, but get loads in return with Dundee Disabled Children's Association."	"DDCA provides activities and support for children and young people aged 0 to 20 with extra support needs and their families. We look for volunteers aged over 16 to help at one of our evening youth groups for children and yound people - either a Mon, Tues or Friday evening from 6.20pm to 8pm. If you're keen, the next step would be to call us on 826888 to arrange a time to come in for an informal interview. If that goes OK, after a cooling off period when you can read through our policies and procedures, we'll then move onto the paperwork involved, (we seek two written references and a ""Protecting Vulnerable Groups"" scheme membership before any volunteering commences)."	"Enthusiasm and common sense. The ability to work as a member of the team. A sense of humour. The ability to acknowledge, understand and follow our volunteer guidelines, child protection rules and participation policy and good practice guide."	16	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	"Expense claim forms are freely available in a designated volunteers information area without the need to ask. They can be given to Eliot at any time, who will provide the funds there and then. 25p per mile/bus fares/other expenses. DDCA also has a taxi."	9 Lawton Road	Elliot Sawers	01382 826888	ddcaok@yahoo.co.uk
Advocacy / Human Rights	VO38347	5	Advocating Together (Dundee) SCIO	Learning Disabilities	Self-Advocacy Assistant	"Self-advocacy Assistants are linked with a group of self-advocates with learning disabilities and/or Autistic Spectrum Disorders. The group work revolves around the needs of the self-advocates and the topics that are most important to them. Issues and topics may be tackled creatively in a variety of ways depending on the group and the unique skills that each volunteer brings. Through discussion and activities self-advocates develop confidence, communication skills, and awareness. Self-advocacy Assistants and self-advocates contribute equally to discussions; learning to respect other peoples' opinions. The groups also take part in social events out in the community, such as dinners, or discos. Fun is at the centre of all of the work we do at Advocating Together. Groups are held at various time of day or evening, some groups are fortnightly, others are monthly. Volunteers have the opportunity to attend peer supervision and training sessions throughout the year to discuss progress or problems, and expand their knowledge and skills."	"We run self-advocacy groups for adults with learning disabilities and / or autistic spectrum disorder with the aim of improving their confidence and communication skills, developing the awareness of their rights and responsibilites, enabling them to take more control over their own lives and to comment more effectively on services provided."	"You must have a positive and non-judgemental attitude towards people with LD and/or ASD. Be able to get on well with people and have excellent listening and communication skills. You must be prepared to work with people on a 1:1 basis, in small groups and at large events in various locations."	18	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	Travel expenses are paid per session at the price of a Dundee Daysaver ticket.	"Most meetings are held in our own premises on Ryehill Lane, which is close to Perth Road and easily accessible by public transport. You will be required to travel to Advocating Together (Dundee) office or at an agreed venue within City of Dundee."	Victoria Scott	01382 666601	volcord@advocating-together.org.uk
Driving / escorting	VO38348	1	Alzheimer Scotland (Dundee)	Elderly	Minibus Driver	"The role of the minibus driver is to help people with dementia access enjoyable and meaningful opportunities to socialise and enjoy activities within our resource centre. You would be supported by our staff to help pick people up from all over Dundee, and supported again to take them home again at the end of the day. Occasionally, you might be asked to take them on a day trip somewhere as well. We are looking for people that are calm, patient and enjoy spending time with people. An interest in supporting people would be desirable. A usual pick up starts from about 9.15am onwards, and the return home starts about 3pm. We are currently looking for Wed/Thursday cover, but would also look for people that could help when our regular drivers need a break."	"Alzheimer Scotland - exists to help people with dementia, and their carers. We provide information, support and a network of services and carers groups around Scotland. Our aims are: To be a local voice for people with dementia and their carers; to increase public awareness about dementia; to provide information, advice and support to carers and people with dementia; and, to provide services for people with dementia."	"An ability to drive a minibus. General people skills ? patience, calmness, enthusiasm to work with people."	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0		"We are based in 9 Morgan Street, close to bus stops on Albert Street / Pitkerro Road. The 33,32,15 and 17 all stop in this area."	Pollock Audrey	01382 210200	dundeeservices@alzscot.org
