Work Type	Volunteering Opportunity: Ref	No. of Volunteers Required	Organisation: Organisation Name	Client Group	Title	Full Description	Organisation: Aims And Objectives	Experience Required	Minimum Age	Monday Morning	Monday Afternoon	Monday Evening	Tuesday Morning	Tuesday Afternoon	Tuesday Evening	Wednesday Morning	Wednesday Afternoon	Wednesday Evening	Thursday Morning	Thursday Afternoon	Thursday Evening	Friday Morning	Friday Afternoon	Friday Evening	Saturday Morning	Saturday Afternoon	Saturday Evening	Sunday Morning	Sunday Afternoon	Sunday Evening	Travel Expenses	Travel Details	Organisation Contact	Organisation: Phone	Organisation: Email
Advice / Information giving	VO38363	2	SSAFA Forces Help (Dundee)	Anti poverty work	Caseworker	To investigate applicants who are ex service and their dependants seeking assistance financial and otherwise by obtaining help usually financial and can then access services through charities and branch funds. This includes visiting applicants ( all in Dundee) in their homes and investigating their situation. After assessment by case worker they can then obtain funding from service organisation and access grant assistance. Full practical support and national training given with payment of all expenses.	"To relieve the need, suffering and distress of members, former members and their dependants of all branches of the armed services. To raise public awareness of our existence and reach as many people as we can who may benefit from our help."	Caseworkers need to be keen and have an aptitude to help people. Computer literacy would be handy but not essential. Good communication skills.		0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Travel claims along with any other expenses are paid on a monthly basis - 40p per mile.	"Clients are mainly seen in their homes, a car would be convenient, but not essential. Caseworkers are expected to attend the office once a week for one hour to attend to clients who may turn up there."	John MacNeil	01382 452808	dundee@ssafa.org.uk
Advice / Information giving	VO38480	4	Amina	Womens Groups	Helpline Support Worker	"The opportunity consists of receiving Telephone Helpline Association training, whilst manning the telephone helpline and responding to all calls received. Calls can vary from asking about leisure opportunities and classes to domestic abuse issues. All volunteers have support available 9.30am-5pm, team building days and ""away days"" to get to know one another. Amina's volunteers are women from diverse backgrounds and of all ages."	To promote the welfare of muslim women and counter any disadvantage they may face. To enable muslim women to fully participate in society without having to compromise basic Islamic values and to ensure that they are able to access appropriate services and facilities. To provide services that promote and encourage the development of muslim women in a culturally and religiously sensitive manner.	An ability to listen and empathise on the telephone. An ability to speak clearly and to understand easily on the phone. An ability to speak a community language as well as english would be an advantage.	16	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	"Public transport costs paid, possibility of childcare expenses."	In our Dundee Office.	Lori Hughes	01382 224687	lori@mwrc.org.uk
Advice / Information giving	VO38866	30	Transform Community Development	Environment	Zero Waste Champion	"Ever wanted to develop a wormery? Fancy taking part in a composting project or interested in getting involved with food waste reduction? Volunteers help promote waste reduction using a variety of fun and informative ideas such as a cook off between chefs to make meals from leftovers. If this sounds like your kind of activity why not help us to promote waste reduction in the community in a friendly and informal manner? Providing information on easy ways to reduce waste and encourage recycling will make a gradual but lasting impact on the region's landfill rates. Volunteers will receive initial training as well as on going training to allow up-to-date knowledge to be passed on. All training and events will be at no cost to volunteers. In return Volunteers will meet like minded individuals, have fun, learn new skills and be given a reference."	"Transform Community Development works with vulnerable individuals within the city to provide accommodation, support, advice and opportunities in a variety settings. The organisation also aims to increase public awareness of issues surrounding homelessness through education. All the organisation's services are provided in a non-judgemental way and without prejudice."	No particular skills are required as training is given. It would be helpful if you are comfortable about speaking to the public.	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Travel expenses will be met on production of cost evidence, i.e. receipt for public transport or mileage at 30p per mile."	Volunteers will attend community events throughout Dundee and Angus. Transport will be arranged where possible and travel costs will be covered on provision of receipts.	David Nicoll	01382 224966	dnicoll@transformcd.org
Advice / Information giving	VO38870	30	Transform Community Development	Environment	Waste Champion	"Transform Community Development is working in partnership with Zero Waste Scotland with the aim of reducing waste in Dundee and Angus. Volunteers will help to promote waste reduction in the community by engaging with the public in a friendly and informal manner. Providing information on easy ways to reduce waste and encourage recycling can make a gradual but lasting impact on the region's landfill rates. Volunteers will receive initial training as well as ongoing training to allow up-to-date knowledge to be passed on. All training and events will be at no cost to volunteers. In return, volunteers will be given the chance to meet like-minded individuals, have fun and learn new skills."	"Transform Community Development works with vulnerable individuals within the city to provide accommodation, support, advice and opportunities in a variety settings. The organisation also aims to increase public awareness of issues surrounding homelessness through education. All the organisation's services are provided in a non-judgemental way and without prejudice."	"No particular skills are required as training is provided. However, volunteers will be required to speak to the public."	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Travel expenses will be met on production of receipts for public transport or mileage at 30p per mile.	Volunteers will be given the opportunity to attend community events throughout Dundee and Angus. Travel costs will be covered and transport arranged whenever possible.	David Nicoll	01382 224966	dnicoll@transformcd.org
Advice / Information giving	VO38888	5	Dundee Carers Centre	Carers	Carer Ambassador	"Carer Ambassadors have a valuable role in helping to promote the work of Dundee Carers Centre and raise awareness of carers' issues at a local level. They will be the visible ?face? of the organisation in the community centres, GP surgeries, etc. A Carer Ambassador will represent the needs of carers and reach out to hidden carers, those who have not been identified by professionals or just don?t recognise themselves as carers. This could be through creating information stands while sharing knowledge and skills with other people."	"To provide information and support services to disabled people and carers. To ensure disabled people and carers understand and exercise their rights to services and support and act in an advocacy role if required. To work with others to identify gaps in services and develop and manage services to fill those gaps. CGate opened in October 2015 and offers excellent facilities and flexible layouts, ideal for a wide variety of uses such as meetings, training and corporate events. This facility which is situated in the city centre and available at competitive rates can be booked on an hourly, half day or full day basis."	"Carer Ambassadors should have some form of experience of being a carer themselves, either currently or at some point in their lives. This role would suit someone who is friendly with good communication & social skills and the ability to empathise."	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Dundee Carers Centre provides full travel expenses for volunteers, payable on a monthly basis."	"Carer Ambassadors will be out in various areas of the community, with focus in the Lochee and Menzieshill areas, while promoting the organisation and reaching out to carers."	Frances Woods	01382 200422	tim.mineard@dundeecarerscentre.org.uk
Advice / Information giving	VO38913	1	Action on Hearing Loss Scotland (Dundee)	Sensory Impairment	Hearing Aid Supporter	"Volunteers provide support to Deaf and Hard of Hearing people who are hearing aid users. Tasks will include providing support and information to hearing aid users, fitting new hearing aids correctly, re-tubing hearing aids as well as fitting new batteries. Volunteeers may also provide information and equipment suitable for Deaf and Hard of Hearing people. The volunteer role is usually carried out at various drop-ins across your local area in such venues as libraries, community centres, health centres, care homes, nursing homes and so on. Comprehensive training is provided."	"We're the charity working for a world where hearing loss doesn't limit or label people, where tinnitus is silenced - and where people value and look after their hearing. The Hear to Help project offers hearing aid maintenance, support and information to hearing aid users across the whole of Tayside."	"Good organisation and communication skills, reliable and trustworthy, patient, approachable and friendly and an ability to work on your own or as part of a team."	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	All public transport costs will be reimbursed. Mielage is paid at 45p per mile for car use. Volunteers are required to submit a Volunteer Expenses form and provide receipts and tickets where necessary. Volunteers may have expenses paid direct into a bank	The project is based in Dundee. However there will be volunteer opportunities across the Tayside area in a variety of local settings.	Michelle Donoghue	01382 201073	michelle.donoghue@hearingloss.org.uk
Advice / Information giving	VO55915	5	Roshni (Dundee)	Ethnic Minorities	Community Outreach Helper	"Would you like to help protect and empower your community? Would you like to meet new people and develop new skills? We rely on our dedicated Community Outreach Volunteers to raise awareness and spread our message within minority ethnic communities in Glasgow, Edinburgh, Tayside and Aberdeen. Our Community Outreach Volunteers represent us at local events and help keep their communities informed of their rights and of the projects and services available to provide them with support. You could make a huge difference to your community! Get in touch today!"	"Roshni works extensively with minority ethnic communities and partners across Scotland. Our primary aim is the safety and wellbeing of minority ethnic children, young people and vulnerable adults. We are at the forefront of addressing issues that affect minority ethnic communities in Scotland and are committed to creating services that will ensure improved outcomes for minority ethnic community members."	We are looking for volunteers who would like to improve the lives of minority ethnic communities and have an interest in community development and advocacy. We are also specifically looking for people who can speak minority ethnic languages.	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"All reasonable expenses for travel during volunteering activities will be reimbursed, including tickets for public transport and mileage rates."	"This opportunity will take place across Dundee at various events and community locations, with some home-based volunteering."	Amrita Ahluwalia	0141 218 4010	info@roshni.org.uk
Advice / Information giving	VO56582	50	Dundee Healthy Living Initiative	Families	Smoke Free Community Champion	"To deliver one or all of the following: 1) To deliver or support staff with stop smoking support in informal settings, 2) To promote stop smoking services, the Quit4U and Give it up for Baby Incentive Schemes and the Smokefree Homes Initiative at information points throughout Dundee, 3) Talk to the public about what support they need to stop smoking and what might help to keep their home and community smoke free, 4) Share specific information as directed by DHLI/NHS Tayside through social media, 5) Provide Buddy support to participants attending groups or other activities."	"We work in areas identified with Health inequalities. We work in partnership with local communities to set up and provide services. These are health related and include groups in the following; walking, pram pushing, jogging, stress management, cooking (male and female only groups) exercise to music, chair aerobics, gardening, smoking cessation, winning weigh, tai chi and badminton. Nurses in our teams also offer free health checks (including blood pressure and blood sugar levels) talks and health stalls."	"Good Communication Skills, Good Listener, Non Judgmental, Able to work with people from all backgrounds, Confidentiality, Friendly and approachable."	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Public Transport rates.	"Within Dundee. For example: community centres, shopping centres, cafés, pubs, community groups within the public and voluntary sector. Additionally ? this could also be delivered and take place within an already established voluntary organisation."	Alison Christie	01382 831452	alison.christie@dundeecity.gov.uk
Advice / Information giving	VO56838	6	Victim Support Scotland (Dundee)	Crime / Safety	Supporter	"Volunteers are required to provide emotional and practical support to victims and those affected by crime. Support is provided in both the local community and court setting. Support includes but is not limited to - Time to talk, help with compensation claims, information about other agencies and supporting throughout the criminal justice system. Our volunteers come with a wide range of skills and experience. We are looking for flexible, adaptable and non-judgemental individuals who are able to get on with people of all ages and backgrounds. Support offered by volunteers is provided through a variety of contact methods - telephone support, home visits, office appointments and support within the court setting. We offer volunteers the chance to build on and learn new skills, and give them a chance to meet new people and develop their interest. APPLY ONLINE at http://www.victimsupportsco.org.uk/page/volunteering.cfm."	"The Witness Service exists to help people through the judicial process by providing practical and emotional support. This facility is set up in the court building and is confidential, and provided by trained volunteers. The service is free and available to ALL witnesses attending court regardless of age, sex, religion, sexual orientation, disability or social class."	"Full training is provided. All we ask is that volunteers are flexible, adaptable and non-judgemental and will work with individuals of any age and background."	18	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	Transport and reasonable subsistence will be paid by the charity. Further details can be discussed at the interview stage.	Dundee - surrounding community and Dundee Sheriff Court.	Ciara White	01382 202265	witnessservice.dundee@victimsupportsco.org.uk
Advice / Information giving	VO57610	20	Dundee Voluntary Action (CVS)	Elderly	Home Visitor (CANFICS)	"CANFICS is a service run by older people for older people. Your role would include visiting older people in their own homes with their agreement to listen to their experiences and hopes concerning their health, welfare and social needs. You could also make suggestions on which local services, activities and facilities they could access. In addition, you may be asked to gather feedback from older people about the services that they already use. This information would be collected on behalf of the local health and social work departments to show what works well and the ways in which services may be improved. So if you are interested in really making a difference then give us a call. Next training will commence in March 2015."	"The organisation aims to support the development, promotion, representation and facilitation of the Voluntary Sector and provides the Centre for the Voluntary Sector in Dundee."	"Life experience, friendly personality, good communication skills - both written and verbal. Confident and organised. Knowledge of Dundee would be useful."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Volunteer expenses will be paid.	City wide.	Margaret Hume	01382 305728	dva@dumber10.org
